Date,BAJAJ-AUTO.NS,BAJAJFINSV.NS,INFRATEL.NS,HEROMOTOCO.NS,HINDUNILVR.NS,ITC.NS,IOC.NS,INFY.NS,MARUTI.NS,Portfolio Value
2017-04-10,28370.00,43730.00,3570.00,31994.00,9259.50,2735.50,2056.30,9534.00,62688.50,193937.8
2017-04-11,28224.50,43748.50,3555.50,32022.00,9237.00,2820.50,2047.50,9671.50,62478.00,193805.0
2017-04-12,28395.00,45029.50,3670.50,32270.50,9237.50,2819.00,2046.30,9688.50,61545.00,194701.8
2017-04-13,28481.50,46119.00,3550.50,32245.00,9238.50,2791.50,2112.00,9314.00,60779.50,194631.5
2017-04-17,28521.50,44934.50,3443.50,32401.50,9140.50,2791.00,2122.30,9249.00,61155.50,193759.3
2017-04-18,28244.00,43694.00,3369.00,32262.50,9127.50,2790.50,2154.30,9226.50,61371.50,192239.8
2017-04-19,28087.00,43400.50,3467.00,31997.50,9085.50,2787.00,2176.30,9192.00,61969.50,192162.3
2017-04-20,28315.00,43554.00,3427.00,31984.00,9157.00,2795.00,2136.50,9273.00,62735.00,193376.5
2017-04-21,28243.00,43040.50,3528.50,32032.00,9064.00,2743.50,2123.80,9237.00,61858.00,191870.3
2017-04-24,28677.50,43717.50,3582.50,32044.00,9045.50,2767.50,2109.50,9265.50,63183.50,194393.0
2017-04-25,28968.00,45243.50,3752.50,33052.00,9240.00,2813.00,2182.50,9293.50,63372.00,197917.0
2017-04-26,28854.50,45342.00,3673.00,33130.50,9413.50,2909.00,2168.80,9142.50,64063.00,198696.8
2017-04-27,28660.50,45247.50,3668.00,33008.00,9473.00,2858.00,2216.50,9252.50,63740.50,198124.5
2017-04-28,28640.00,45756.50,3547.00,33186.00,9349.50,2780.00,2200.20,9189.50,65248.50,199897.2
2017-05-02,28980.00,45661.50,3542.00,33529.50,9281.00,2792.00,2215.20,9226.00,67055.00,202282.2
2017-05-03,29332.50,45629.00,3630.00,33765.00,9340.00,2772.50,2209.50,9343.00,66440.00,202461.5
2017-05-04,29425.50,45696.00,3633.50,33956.50,9567.00,2812.00,2178.20,9376.50,66398.00,203043.2
2017-05-05,28876.50,44284.00,3666.00,33765.50,9539.00,2771.50,2165.50,9315.00,66541.50,200924.5
2017-05-08,28569.50,44209.50,3644.50,34012.50,9548.50,2729.50,2142.50,9455.00,66305.50,200617.0
2017-05-09,28731.50,43784.50,3659.00,32823.50,9520.50,2715.00,2203.80,9466.50,66293.00,199197.3
2017-05-10,29048.00,43914.50,3666.50,33238.50,9963.50,2739.50,2207.30,9436.50,67377.50,201591.8
2017-05-11,29984.50,44958.00,3783.00,34618.00,9787.50,2766.50,2160.20,9441.00,67625.00,205123.7
2017-05-12,30048.00,43955.50,3747.00,35415.00,9802.00,2749.50,2174.50,9642.50,67302.00,204836.0
2017-05-15,29997.00,45509.50,3710.50,35154.50,9832.50,2779.50,2210.50,9515.50,68239.00,206948.5
2017-05-16,30240.00,45675.00,3765.50,36194.00,10004.00,2834.50,2233.00,9550.00,69539.50,210035.5
2017-05-17,30397.00,44867.50,3899.00,36459.50,10094.00,2816.50,2221.30,9528.00,69582.00,209864.8
2017-05-18,29731.00,43190.00,3789.00,35920.50,9902.50,2779.00,2199.50,9617.50,68310.50,205439.5
2017-05-19,29726.50,41699.00,3789.50,35716.50,10080.00,2862.00,2177.00,9579.50,67905.50,203535.5
2017-05-22,29141.50,39642.00,3879.50,35624.50,10186.00,3036.00,2126.80,9614.50,67017.00,200267.8
2017-05-23,28249.50,39830.50,3798.50,35850.00,10248.00,3001.50,2121.30,9573.00,68788.50,201460.8
2017-05-24,27643.00,39539.50,3690.00,35676.00,10380.50,2999.00,2152.70,9548.00,68696.50,200325.2
2017-05-25,28228.00,39971.00,3735.00,36258.50,10434.50,3000.50,2194.80,9833.00,69857.00,203512.3
2017-05-26,28141.00,40073.50,3699.50,36184.00,10409.50,3091.00,2130.20,9957.00,70648.00,204333.7
2017-05-29,28379.50,39980.50,3793.50,36658.00,10722.50,3158.50,2096.30,9851.50,71344.50,205984.8
2017-05-30,28514.00,41545.00,3722.50,37403.50,10726.00,3114.50,2097.70,9962.00,71475.00,208560.2
2017-05-31,28459.50,41920.00,3666.00,37454.50,10670.00,3118.00,2147.30,9770.50,72110.00,209315.8
2017-06-01,28393.50,42056.00,3762.50,37333.50,10953.50,3142.00,2069.30,9714.00,71466.00,208890.3
2017-06-02,28528.50,43058.00,3746.50,38497.50,10864.00,3192.00,2074.00,9694.50,71147.00,210802.0
2017-06-05,28984.00,43047.50,3824.50,38349.50,10977.50,3174.50,2110.20,9587.50,71257.00,211312.2
2017-06-06,28735.50,42441.00,3831.50,37999.50,10915.50,3110.50,2123.00,9793.50,71121.00,210071.0
2017-06-07,28760.00,42541.50,3832.00,38432.50,11063.50,3122.50,2136.80,9613.00,72057.00,211558.8
2017-06-08,28681.50,42800.00,3798.50,37844.50,10935.00,3116.00,2093.80,9564.50,72495.00,211328.8
2017-06-09,28658.00,42422.00,3826.50,37801.00,10953.50,3060.00,2100.20,9486.00,74648.50,212955.7
2017-06-12,28246.00,41526.50,3847.50,37732.50,10996.50,3044.00,2118.20,9638.50,73736.50,210886.2
2017-06-13,28349.00,41768.50,3842.00,37525.00,11027.50,3052.50,2098.80,9578.00,73489.50,210730.8
