Date,BPCL.NS,IBULHSGFIN.NS,IOC.NS,M&M.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,HINDPETRO.NS,TATASTEEL.NS,Portfolio Value
2017-05-29,5032.30,11070.00,2096.30,6800.30,1565.00,1757.50,2091.00,3648.30,4837.00,38897.7
2017-05-30,4925.00,11136.00,2097.70,6805.50,1612.50,1786.50,2041.00,3693.70,4876.60,38974.5
2017-05-31,4951.00,11606.00,2147.30,7084.70,1602.00,1770.00,2079.50,3694.70,4808.50,39743.7
2017-06-01,4926.70,11450.50,2069.30,7126.30,1606.50,1740.00,2076.50,3608.00,4736.50,39340.3
2017-06-02,4832.00,11318.50,2074.00,7092.50,1626.00,1740.00,2061.00,3578.30,4687.00,39009.3
2017-06-05,4857.00,11701.50,2110.20,7118.50,1626.00,1757.50,2053.00,3614.70,4680.80,39519.200000000004
2017-06-06,4837.00,11384.50,2123.00,7057.20,1581.00,1714.50,2034.50,3635.00,4671.30,39038.0
2017-06-07,4782.00,11378.50,2136.80,7159.50,1578.50,1720.50,2050.50,3601.30,4676.50,39084.1
2017-06-08,4712.30,11463.00,2093.80,7087.50,1578.50,1705.50,2073.50,3592.30,4754.20,39060.59999999999
2017-06-09,4691.70,11552.50,2100.20,7133.50,1578.00,1692.00,2072.00,3597.70,4830.80,39248.40000000001
2017-06-12,4678.00,11560.50,2118.20,7117.80,1579.50,1685.00,2062.00,3633.30,4843.70,39278.0
2017-06-13,4660.00,11535.50,2098.80,7088.30,1600.00,1691.00,2102.50,3604.00,4845.60,39225.7
2017-06-14,4613.30,11608.50,2103.50,7026.00,1599.50,1695.00,2105.00,3644.70,4788.90,39184.4
2017-06-15,4469.30,11490.50,2035.20,6938.30,1590.50,1671.50,2103.50,3457.00,4788.00,38543.8
2017-06-16,4492.00,11290.00,2023.00,6936.50,1606.00,1671.50,2099.50,3534.30,4782.30,38435.100000000006
2017-06-19,4447.70,11294.50,2036.00,6941.30,1609.50,1660.50,2124.00,3537.00,4949.90,38600.4
