Date,ADANIPORTS.NS,AXISBANK.NS,ASIANPAINT.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,Portfolio Value
2017-05-11,3600.50,5169.00,11664.50,29984.50,13397.00,63815.5
2017-05-12,3579.50,5030.00,11329.50,30048.00,13147.50,63134.5
2017-05-15,3562.00,5001.00,11480.50,29997.00,13329.50,63370.0
2017-05-16,3545.00,5015.00,11428.50,30240.00,13477.50,63706.0
2017-05-17,3485.50,5028.00,11549.50,30397.00,13248.00,63708.0
2017-05-18,3479.00,4920.00,11513.50,29731.00,13145.50,62789.0
2017-05-19,3494.50,5017.00,11231.50,29726.50,12891.50,62361.0
2017-05-22,3544.50,5023.00,11125.50,29141.50,12421.50,61256.0
2017-05-23,3316.50,5006.00,10989.00,28249.50,12337.50,59898.5
2017-05-24,3396.50,4993.00,10912.00,27643.00,12243.50,59188.0
2017-05-25,3407.50,5074.50,11132.00,28228.00,12588.50,60430.5
2017-05-26,3480.00,5114.50,11324.50,28141.00,13178.00,61238.0
2017-05-29,3278.00,5072.50,11465.50,28379.50,13074.50,61270.0
2017-05-30,3403.50,5144.00,11594.50,28514.00,13215.50,61871.5
2017-05-31,3390.00,5140.50,11512.00,28459.50,13269.50,61771.5
2017-06-01,3492.00,5093.00,11604.50,28393.50,13273.50,61856.5
2017-06-02,3579.00,5080.50,11643.00,28528.50,13612.50,62443.5
2017-06-05,3610.50,5136.50,11615.50,28984.00,13631.00,62977.5
2017-06-06,3614.50,5102.00,11531.50,28735.50,13366.50,62350.0
2017-06-07,3591.00,5142.00,11615.00,28760.00,13431.50,62539.5
2017-06-08,3591.50,5157.50,11433.00,28681.50,13617.00,62480.5
2017-06-09,3598.50,5136.50,11557.50,28658.00,13768.50,62719.0
2017-06-12,3568.50,5075.00,11507.00,28246.00,13649.50,62046.0
2017-06-13,3594.00,5064.50,11497.00,28349.00,13715.00,62219.5
2017-06-14,3595.00,5095.00,11496.00,28251.50,13610.00,62047.5
2017-06-15,3600.00,5076.00,11403.00,28144.00,14052.50,62275.5
2017-06-16,3631.50,5104.50,11454.00,28098.00,14103.00,62391.0
2017-06-19,3738.00,5201.50,11541.50,28277.50,13998.50,62757.0
2017-06-20,3756.50,5118.50,11494.50,28153.00,14096.00,62618.5
2017-06-21,3699.50,5077.50,11554.00,28175.00,14166.50,62672.5
2017-06-22,3694.50,5080.00,11625.50,28457.00,14018.00,62875.0
2017-06-23,3654.50,5046.50,11536.50,28243.00,14007.50,62488.0
2017-06-27,3677.00,4928.50,11341.50,27793.00,13499.50,61239.5
2017-06-28,3645.00,4920.00,11091.50,27770.50,13723.50,61150.5
2017-06-29,3645.00,5121.00,11045.50,28013.00,13763.00,61587.5
2017-06-30,3630.50,5173.50,11029.50,27912.00,13731.00,61476.5
2017-07-03,3680.00,5172.50,11202.50,27893.50,13871.50,61820.0
2017-07-04,3717.00,5084.00,11085.50,27696.50,13795.50,61378.5
2017-07-05,3729.00,5139.00,11266.50,27712.50,13985.50,61832.5
2017-07-06,3730.50,5095.00,11321.50,27286.00,13993.00,61426.0
2017-07-07,3716.00,5031.50,11154.50,27082.50,13917.00,60901.5
2017-07-10,3749.50,5099.50,11277.50,27306.50,14128.00,61561.0
2017-07-11,3727.00,5068.00,11317.50,27927.50,14192.00,62232.0
2017-07-12,3738.50,5067.50,11337.00,27858.50,14437.00,62438.5
2017-07-13,3759.50,5119.00,11255.00,27897.50,14859.00,62890.0
2017-07-14,3756.00,5129.50,11173.50,28098.00,14994.00,63151.0
2017-07-17,3812.50,5105.00,11254.50,28212.50,15385.00,63769.5
2017-07-18,3819.00,5165.50,11466.00,28317.50,15123.50,63891.5
2017-07-19,3810.50,5202.00,11558.50,28237.00,15418.50,64226.5
2017-07-20,3800.00,5400.00,11555.50,28186.00,15953.50,64895.0
2017-07-21,3819.00,5408.00,11561.00,28158.00,16213.50,65159.5
2017-07-24,3884.50,5348.00,11557.50,28267.50,15974.00,65031.5
2017-07-25,3907.50,5449.50,11501.00,28477.00,16275.00,65610.0
2017-07-26,3930.50,5288.50,11340.00,28413.50,16871.50,65844.0
2017-07-27,3925.00,5246.50,11488.00,28403.00,16793.50,65856.0
2017-07-28,3957.50,5151.00,11532.50,28281.50,17013.50,65936.0
2017-07-31,3959.00,5198.00,11617.00,28085.50,17031.00,65890.5
2017-08-01,4040.00,5165.50,11482.00,28234.00,17162.50,66084.0
2017-08-02,4112.50,5169.00,11445.00,28029.00,17072.00,65827.5
2017-08-03,4073.50,5060.00,11461.00,28342.50,17017.50,65954.5
