Date,HINDUNILVR.NS,Portfolio Value
2017-04-24,9045.50,9045.5
2017-04-25,9240.00,9240.0
2017-04-26,9413.50,9413.5
2017-04-27,9473.00,9473.0
2017-04-28,9349.50,9349.5
2017-05-02,9281.00,9281.0
2017-05-03,9340.00,9340.0
2017-05-04,9567.00,9567.0
2017-05-05,9539.00,9539.0
2017-05-08,9548.50,9548.5
2017-05-09,9520.50,9520.5
2017-05-10,9963.50,9963.5
2017-05-11,9787.50,9787.5
2017-05-12,9802.00,9802.0
2017-05-15,9832.50,9832.5
2017-05-16,10004.00,10004.0
2017-05-17,10094.00,10094.0
2017-05-18,9902.50,9902.5
2017-05-19,10080.00,10080.0
2017-05-22,10186.00,10186.0
2017-05-23,10248.00,10248.0
2017-05-24,10380.50,10380.5
2017-05-25,10434.50,10434.5
2017-05-26,10409.50,10409.5
2017-05-29,10722.50,10722.5
2017-05-30,10726.00,10726.0
2017-05-31,10670.00,10670.0
2017-06-01,10953.50,10953.5
2017-06-02,10864.00,10864.0
2017-06-05,10977.50,10977.5
2017-06-06,10915.50,10915.5
2017-06-07,11063.50,11063.5
2017-06-08,10935.00,10935.0
2017-06-09,10953.50,10953.5
2017-06-12,10996.50,10996.5
2017-06-13,11027.50,11027.5
2017-06-14,11137.00,11137.0
2017-06-15,11040.00,11040.0
2017-06-16,10918.00,10918.0
2017-06-19,10956.50,10956.5
2017-06-20,10930.50,10930.5
2017-06-21,11234.50,11234.5
2017-06-22,10940.50,10940.5
2017-06-23,10979.00,10979.0
2017-06-27,10921.00,10921.0
2017-06-28,10900.00,10900.0
2017-06-29,10881.00,10881.0
2017-06-30,10796.00,10796.0
2017-07-03,10977.50,10977.5
2017-07-04,10881.00,10881.0
2017-07-05,10967.00,10967.0
2017-07-06,10925.00,10925.0
2017-07-07,10977.00,10977.0
2017-07-10,10962.50,10962.5
2017-07-11,11064.50,11064.5
2017-07-12,11316.50,11316.5
2017-07-13,11347.00,11347.0
2017-07-14,11393.00,11393.0
2017-07-17,11529.50,11529.5
2017-07-18,11578.50,11578.5
2017-07-19,11543.50,11543.5
2017-07-20,11529.00,11529.0
2017-07-21,11586.50,11586.5
2017-07-24,11593.50,11593.5
2017-07-25,11496.00,11496.0
2017-07-26,11645.50,11645.5
2017-07-27,11719.00,11719.0
2017-07-28,11538.50,11538.5
2017-07-31,11557.50,11557.5
2017-08-01,11739.50,11739.5
2017-08-02,11687.50,11687.5
2017-08-03,11699.00,11699.0
2017-08-04,11921.00,11921.0
2017-08-07,11863.00,11863.0
2017-08-08,11910.00,11910.0
2017-08-09,11853.50,11853.5
