Date,TATASTEEL.NS,ZEEL.NS,YESBANK.NS,WIPRO.NS,PNB.NS,ULTRACEMCO.NS,TECHM.NS,TCS.NS,ONGC.NS,SAIL.NS,Portfolio Value
2017-05-26,4875.60,5190.00,2987.20,2695.00,1506.50,41544.00,4291.50,25782.50,1757.50,592.00,91221.8
2017-05-29,4837.00,5218.00,2876.60,2673.00,1451.00,40613.00,3794.50,25728.50,1757.50,584.50,89533.6
2017-05-30,4876.60,5225.50,2876.70,2680.80,1463.50,40821.00,3883.00,25511.00,1786.50,583.50,89708.1
2017-05-31,4808.50,5148.50,2862.70,2677.50,1505.00,41952.00,3900.00,25466.00,1770.00,571.50,90661.7
2017-06-01,4736.50,5220.00,2889.20,2705.80,1519.00,41983.50,3977.00,25536.00,1740.00,567.50,90874.5
2017-06-02,4687.00,5231.50,2963.50,2758.30,1530.50,42406.00,3996.00,25649.00,1740.00,573.00,91534.8
2017-06-05,4680.80,5246.50,3047.10,2777.70,1538.00,41781.50,4027.50,26039.50,1757.50,570.50,91466.6
2017-06-06,4671.30,5187.50,3012.30,2802.70,1495.00,41225.00,4086.50,26960.00,1714.50,568.50,91723.3
2017-06-07,4676.50,5192.50,2987.50,2747.00,1523.50,41407.50,3999.00,26152.50,1720.50,570.00,90976.5
2017-06-08,4754.20,5206.50,2952.40,2729.50,1513.00,41202.50,3974.00,25216.00,1705.50,576.50,89830.1
2017-06-09,4830.80,5220.00,2977.60,2684.80,1521.50,41119.50,3868.00,25070.00,1692.00,574.00,89558.2
2017-06-12,4843.70,5132.00,2967.20,2631.70,1484.00,40454.50,3973.00,24872.00,1685.00,571.50,88614.6
2017-06-13,4845.60,5087.50,2987.70,2590.00,1487.50,40618.00,3934.00,24515.50,1691.00,564.00,88320.8
2017-06-14,4788.90,5131.50,2898.00,2561.00,1520.00,40528.50,3967.00,24702.00,1695.00,559.00,88350.9
2017-06-15,4788.00,5083.50,2892.30,2608.50,1474.50,40438.00,3936.50,24112.00,1671.50,564.00,87568.8
2017-06-16,4782.30,5080.50,2887.00,2552.50,1476.50,41253.00,3903.00,23997.00,1671.50,569.00,88172.3
2017-06-19,4949.90,5091.00,2861.90,2545.50,1472.50,40975.50,3894.50,24317.00,1660.50,576.50,88344.8
2017-06-20,4976.60,5044.00,2894.10,2542.50,1439.00,40638.00,3943.50,24450.00,1691.00,573.50,88192.2
2017-06-21,4931.80,5046.00,2865.40,2559.00,1462.00,40160.50,3909.50,24063.00,1648.00,573.00,87218.2
2017-06-22,4906.60,5106.50,2904.00,2550.50,1455.50,40578.50,3869.50,23948.50,1604.50,584.50,87508.6
2017-06-23,4832.80,5097.50,2870.80,2568.50,1439.00,39990.00,3807.00,23617.00,1581.00,576.00,86379.6
2017-06-27,4867.50,4918.00,2831.00,2565.50,1370.00,38779.00,3801.00,23428.50,1599.50,564.50,84724.5
2017-06-28,4959.90,4845.50,2899.40,2584.00,1365.00,39582.50,3922.50,23500.50,1581.00,570.50,85810.8
2017-06-29,5097.60,4888.50,2877.00,2593.00,1380.50,39537.50,3888.50,23332.50,1578.50,579.50,85753.1
2017-06-30,5199.60,4913.50,2927.00,2583.50,1373.00,39591.00,3820.00,23623.50,1573.00,583.50,86187.6
2017-07-03,5245.80,4905.00,2985.50,2596.00,1392.50,39988.50,3812.50,23736.00,1591.00,588.50,86841.3
2017-07-04,5216.70,4914.00,2970.10,2600.00,1365.50,40190.50,3777.00,23668.50,1599.00,583.50,86884.8
2017-07-05,5239.60,4997.00,3011.90,2578.00,1366.00,40879.50,3771.50,23560.00,1628.00,596.00,87627.5
2017-07-06,5284.30,5010.50,3008.10,2577.50,1433.00,41073.50,3763.00,23475.50,1617.00,596.50,87838.9
2017-07-07,5272.00,5073.50,3011.50,2577.00,1442.00,40969.00,3800.00,23319.50,1596.00,616.50,87677.0
2017-07-10,5329.10,5057.50,3025.80,2682.50,1532.50,41351.50,3841.00,24349.50,1624.00,629.50,89422.9
2017-07-11,5305.30,5064.50,3029.60,2632.00,1494.00,41512.50,3852.00,24758.00,1602.50,617.50,89867.9
2017-07-12,5326.70,5101.00,3030.90,2638.00,1523.50,41912.50,3873.00,24394.50,1628.50,622.00,90050.6
2017-07-13,5373.00,5170.00,3164.00,2640.50,1522.50,41987.00,3892.50,24464.00,1589.00,618.50,90421.0
2017-07-14,5320.10,5142.50,3129.20,2598.50,1536.50,42229.00,3889.50,23974.50,1583.50,617.00,90020.3
